Column1,problema,alpha,capa_oculta,num_epocas,score
0,problema_real4.txt,0.003,[],31,97.14285714
1,problema_real4.txt,0.003,[2],38,94.28571429
2,problema_real4.txt,0.003,[4],40,98.28571429
3,problema_real4.txt,0.003,[8],74,96
4,problema_real4.txt,0.003,"[4, 2]",42,97.14285714
5,problema_real4.txt,0.01,[],31,94.28571429
6,problema_real4.txt,0.01,[2],1000,97.14285714
7,problema_real4.txt,0.01,[4],41,96.57142857
8,problema_real4.txt,0.01,[8],253,97.71428571
9,problema_real4.txt,0.01,"[4, 2]",952,98.85714286
10,problema_real4.txt,0.03,[],31,95.42857143
11,problema_real4.txt,0.03,[2],1000,96.57142857
12,problema_real4.txt,0.03,[4],1000,96
13,problema_real4.txt,0.03,[8],35,96
14,problema_real4.txt,0.03,"[4, 2]",1000,97.14285714
15,problema_real4.txt,0.1,[],1000,97.71428571
16,problema_real4.txt,0.1,[2],1000,96
17,problema_real4.txt,0.1,[4],31,97.14285714
18,problema_real4.txt,0.1,[8],35,97.71428571
19,problema_real4.txt,0.1,"[4, 2]",37,98.85714286
20,problema_real4.txt,0.3,[],1000,95.42857143
21,problema_real4.txt,0.3,[2],1000,94.28571429
22,problema_real4.txt,0.3,[4],1000,95.42857143
23,problema_real4.txt,0.3,[8],89,93.14285714
24,problema_real4.txt,0.3,"[4, 2]",99,97.71428571
25,problema_real4.txt,0.003,[],1000,94.28571429
26,problema_real4.txt,0.003,[2],1000,93.71428571
27,problema_real4.txt,0.003,[4],38,96
28,problema_real4.txt,0.003,[8],34,96.57142857
29,problema_real4.txt,0.003,"[4, 2]",1000,95.42857143
30,problema_real4.txt,0.01,[],31,97.14285714
31,problema_real4.txt,0.01,[2],1000,95.42857143
32,problema_real4.txt,0.01,[4],31,97.71428571
33,problema_real4.txt,0.01,[8],50,96.57142857
34,problema_real4.txt,0.01,"[4, 2]",1000,98.28571429
35,problema_real4.txt,0.03,[],1000,96
36,problema_real4.txt,0.03,[2],276,97.14285714
37,problema_real4.txt,0.03,[4],1000,96
38,problema_real4.txt,0.03,[8],202,96.57142857
39,problema_real4.txt,0.03,"[4, 2]",1000,94.85714286
40,problema_real4.txt,0.1,[],1000,95.42857143
41,problema_real4.txt,0.1,[2],33,96
42,problema_real4.txt,0.1,[4],48,96.57142857
43,problema_real4.txt,0.1,[8],69,98.85714286
44,problema_real4.txt,0.1,"[4, 2]",1000,96
45,problema_real4.txt,0.3,[],35,97.14285714
46,problema_real4.txt,0.3,[2],1000,97.71428571
47,problema_real4.txt,0.3,[4],35,97.14285714
48,problema_real4.txt,0.3,[8],1000,93.71428571
49,problema_real4.txt,0.3,"[4, 2]",55,97.14285714
50,problema_real6.txt,0.01,[],560,61.65554072
51,problema_real6.txt,0.01,[4],1000,77.51668892
52,problema_real6.txt,0.01,[8],606,82.40320427
53,problema_real6.txt,0.01,[16],1000,87.61014686
54,problema_real6.txt,0.03,[],973,61.17489987
55,problema_real6.txt,0.03,[4],1000,75.78104139
56,problema_real6.txt,0.03,[8],1000,86.00801068
57,problema_real6.txt,0.03,[16],1000,79.62616822
58,problema_real6.txt,0.1,[],1000,60.80106809
59,problema_real6.txt,0.1,[4],1000,71.58878505
60,problema_real6.txt,0.1,[8],1000,77.65020027
61,problema_real6.txt,0.1,[16],1000,82.00267023
62,problema_real6.txt,0.3,[],576,63.49799733
63,problema_real6.txt,0.3,[4],30,57.51668892
64,problema_real6.txt,0.3,[8],34,64.83311081
65,problema_real6.txt,0.3,[16],16,73.05740988
