Column1,problema,alpha,capa_oculta,num_epocas,score
0,problema_real1.txt,0.003,[],38,98.28571
1,problema_real1.txt,0.003,[2],60,97.71429
2,problema_real1.txt,0.003,[4],64,94.85714
3,problema_real1.txt,0.003,[8],42,97.71429
4,problema_real1.txt,0.003,"[4, 2]",73,97.14286
5,problema_real1.txt,0.01,[],1000,96
6,problema_real1.txt,0.01,[2],37,97.14286
7,problema_real1.txt,0.01,[4],41,96.57143
8,problema_real1.txt,0.01,[8],107,94.85714
9,problema_real1.txt,0.01,"[4, 2]",54,97.71429
10,problema_real1.txt,0.03,[],38,97.71429
11,problema_real1.txt,0.03,[2],1000,96.57143
12,problema_real1.txt,0.03,[4],48,98.28571
13,problema_real1.txt,0.03,[8],34,94.85714
14,problema_real1.txt,0.03,"[4, 2]",52,97.14286
15,problema_real1.txt,0.01,[],69,94.85714
16,problema_real1.txt,0.01,[2],1000,95.42857
17,problema_real1.txt,0.01,[4],1000,96.57143
18,problema_real1.txt,0.01,[8],1000,96
19,problema_real1.txt,0.01,"[4, 2]",49,97.14286
20,problema_real1.txt,0.03,[],283,95.42857
21,problema_real1.txt,0.03,[2],1000,94.28571
22,problema_real1.txt,0.03,[4],1000,92.57143
23,problema_real1.txt,0.03,[8],1000,96.57143
24,problema_real1.txt,0.03,"[4, 2]",1000,96.57143
25,problema_real1.txt,0.1,[],47,97.71429
26,problema_real1.txt,0.1,[2],35,98.85714
27,problema_real1.txt,0.1,[4],120,98.28571
28,problema_real1.txt,0.1,[8],127,95.42857
29,problema_real1.txt,0.1,"[4, 2]",223,97.71429
30,problema_real1.txt,0.3,[],1000,95.42857
31,problema_real1.txt,0.3,[2],1000,97.14286
32,problema_real1.txt,0.3,[4],1000,96
33,problema_real1.txt,0.3,[8],31,98.85714
34,problema_real1.txt,0.3,"[4, 2]",40,97.14286
35,problema_real1.txt,0.003,[],69,97.14286
36,problema_real1.txt,0.003,[2],63,96.57143
37,problema_real1.txt,0.003,[4],44,96.57143
38,problema_real1.txt,0.003,[8],1000,96.57143
39,problema_real1.txt,0.003,"[4, 2]",141,97.71429
40,problema_real1.txt,0.01,[],33,98.28571
41,problema_real1.txt,0.01,[2],68,96
42,problema_real1.txt,0.01,[4],54,98.28571
43,problema_real1.txt,0.01,[8],1000,96
44,problema_real1.txt,0.01,"[4, 2]",1000,94.85714
45,problema_real1.txt,0.03,[],39,98.85714
46,problema_real1.txt,0.03,[2],32,96
47,problema_real1.txt,0.03,[4],42,97.14286
48,problema_real1.txt,0.03,[8],1000,95.42857
49,problema_real1.txt,0.03,"[4, 2]",43,93.71429
50,problema_real1.txt,0.01,[],32,95.42857
51,problema_real1.txt,0.01,[2],44,97.71429
52,problema_real1.txt,0.01,[4],57,97.71429
53,problema_real1.txt,0.01,[8],36,96
54,problema_real1.txt,0.01,"[4, 2]",53,98.28571
55,problema_real1.txt,0.03,[],36,95.42857
56,problema_real1.txt,0.03,[2],55,96.57143
57,problema_real1.txt,0.03,[4],35,99.42857
58,problema_real1.txt,0.03,[8],51,96.57143
59,problema_real1.txt,0.03,"[4, 2]",393,97.71429
60,problema_real1.txt,0.1,[],44,96.57143
61,problema_real1.txt,0.1,[2],1000,95.42857
62,problema_real1.txt,0.1,[4],40,97.71429
63,problema_real1.txt,0.1,[8],1000,96
64,problema_real1.txt,0.1,"[4, 2]",994,94.85714
65,problema_real1.txt,0.3,[],34,96
66,problema_real1.txt,0.3,[2],1000,97.14286
67,problema_real1.txt,0.3,[4],1000,94.85714
68,problema_real1.txt,0.3,[8],1000,97.14286
69,problema_real1.txt,0.3,"[4, 2]",90,98.28571
70,problema_real2.txt,0.003,[],285,75.71429
71,problema_real2.txt,0.003,[2],31,59.28571
72,problema_real2.txt,0.003,[4],31,70
73,problema_real2.txt,0.003,[8],31,62.14286
74,problema_real2.txt,0.003,"[4, 2]",31,65.71429
75,problema_real2.txt,0.01,[],258,74.28571
76,problema_real2.txt,0.01,[2],519,74.28571
77,problema_real2.txt,0.01,[4],110,78.57143
78,problema_real2.txt,0.01,[8],680,80
79,problema_real2.txt,0.01,"[4, 2]",31,65
80,problema_real2.txt,0.03,[],1000,77.85714
81,problema_real2.txt,0.03,[2],191,75.71429
82,problema_real2.txt,0.03,[4],1000,76.42857
83,problema_real2.txt,0.03,[8],51,77.85714
84,problema_real2.txt,0.03,"[4, 2]",157,69.28571
85,problema_real2.txt,0.01,[],121,79.28571
86,problema_real2.txt,0.01,[2],101,79.28571
87,problema_real2.txt,0.01,[4],1000,77.14286
88,problema_real2.txt,0.01,[8],101,77.85714
89,problema_real2.txt,0.01,"[4, 2]",31,65.71429
90,problema_real2.txt,0.03,[],136,77.14286
91,problema_real2.txt,0.03,[2],126,82.85714
92,problema_real2.txt,0.03,[4],72,77.14286
93,problema_real2.txt,0.03,[8],235,78.57143
94,problema_real2.txt,0.03,"[4, 2]",88,82.85714
95,problema_real2.txt,0.1,[],45,81.42857
96,problema_real2.txt,0.1,[2],246,79.28571
97,problema_real2.txt,0.1,[4],214,77.14286
98,problema_real2.txt,0.1,[8],44,76.42857
99,problema_real2.txt,0.1,"[4, 2]",71,70.71429
100,problema_real2.txt,0.3,[],42,80
101,problema_real2.txt,0.3,[2],113,76.42857
102,problema_real2.txt,0.3,[4],281,76.42857
103,problema_real2.txt,0.3,[8],1000,74.28571
104,problema_real2.txt,0.3,"[4, 2]",102,76.42857
105,problema_real2.txt,0.003,[],185,72.85714
106,problema_real2.txt,0.003,[2],31,67.85714
107,problema_real2.txt,0.003,[4],31,67.14286
108,problema_real2.txt,0.003,[8],31,68.57143
109,problema_real2.txt,0.003,"[4, 2]",32,65.71429
110,problema_real2.txt,0.01,[],163,76.42857
111,problema_real2.txt,0.01,[2],978,74.28571
112,problema_real2.txt,0.01,[4],264,78.57143
113,problema_real2.txt,0.01,[8],521,76.42857
114,problema_real2.txt,0.01,"[4, 2]",31,66.42857
115,problema_real2.txt,0.03,[],93,77.14286
116,problema_real2.txt,0.03,[2],1000,75.71429
117,problema_real2.txt,0.03,[4],95,76.42857
118,problema_real2.txt,0.03,[8],130,79.28571
119,problema_real2.txt,0.03,"[4, 2]",34,65.71429
120,problema_real2.txt,0.01,[],120,78.57143
121,problema_real2.txt,0.01,[2],31,67.14286
122,problema_real2.txt,0.01,[4],1000,76.42857
123,problema_real2.txt,0.01,[8],884,77.14286
124,problema_real2.txt,0.01,"[4, 2]",31,63.57143
125,problema_real2.txt,0.03,[],93,78.57143
126,problema_real2.txt,0.03,[2],1000,80
127,problema_real2.txt,0.03,[4],209,76.42857
128,problema_real2.txt,0.03,[8],213,76.42857
129,problema_real2.txt,0.03,"[4, 2]",339,69.28571
130,problema_real2.txt,0.1,[],1000,75.71429
131,problema_real2.txt,0.1,[2],238,82.85714
132,problema_real2.txt,0.1,[4],1000,80.71429
133,problema_real2.txt,0.1,[8],40,80
134,problema_real2.txt,0.1,"[4, 2]",68,73.57143
135,problema_real2.txt,0.3,[],52,74.28571
136,problema_real2.txt,0.3,[2],1000,77.85714
137,problema_real2.txt,0.3,[4],86,72.85714
138,problema_real2.txt,0.3,[8],809,69.28571
139,problema_real2.txt,0.3,"[4, 2]",6,72.14286
140,problema_real3.txt,0.003,[],98,94.73684
141,problema_real3.txt,0.003,[2],40,57.89474
142,problema_real3.txt,0.003,[4],32,89.47368
143,problema_real3.txt,0.003,[8],99,94.73684
144,problema_real3.txt,0.003,"[4, 2]",56,65.78947
145,problema_real3.txt,0.01,[],77,94.73684
146,problema_real3.txt,0.01,[2],20,92.10526
147,problema_real3.txt,0.01,[4],57,97.36842
148,problema_real3.txt,0.01,[8],43,100
149,problema_real3.txt,0.01,"[4, 2]",6,31.57895
150,problema_real3.txt,0.03,[],80,76.31579
151,problema_real3.txt,0.03,[2],57,92.10526
152,problema_real3.txt,0.03,[4],3,55.26316
153,problema_real3.txt,0.03,[8],61,100
154,problema_real3.txt,0.03,"[4, 2]",33,94.73684
155,problema_real3.txt,0.01,[],81,94.73684
156,problema_real3.txt,0.01,[2],74,84.21053
157,problema_real3.txt,0.01,[4],53,94.73684
158,problema_real3.txt,0.01,[8],51,100
159,problema_real3.txt,0.01,"[4, 2]",7,55.26316
160,problema_real3.txt,0.03,[],56,89.47368
161,problema_real3.txt,0.03,[2],87,84.21053
162,problema_real3.txt,0.03,[4],34,86.84211
163,problema_real3.txt,0.03,[8],51,97.36842
164,problema_real3.txt,0.03,"[4, 2]",29,76.31579
165,problema_real3.txt,0.1,[],7,68.42105
166,problema_real3.txt,0.1,[2],7,84.21053
167,problema_real3.txt,0.1,[4],11,65.78947
168,problema_real3.txt,0.1,[8],5,63.15789
169,problema_real3.txt,0.1,"[4, 2]",11,60.52632
170,problema_real3.txt,0.3,[],8,63.15789
171,problema_real3.txt,0.3,[2],9,60.52632
172,problema_real3.txt,0.3,[4],14,65.78947
173,problema_real3.txt,0.3,[8],13,68.42105
174,problema_real3.txt,0.3,"[4, 2]",8,71.05263
175,problema_real3.txt,0.003,[],61,97.36842
176,problema_real3.txt,0.003,[2],68,89.47368
177,problema_real3.txt,0.003,[4],3,28.94737
178,problema_real3.txt,0.003,[8],146,97.36842
179,problema_real3.txt,0.003,"[4, 2]",2,28.94737
180,problema_real3.txt,0.01,[],3,65.78947
181,problema_real3.txt,0.01,[2],3,68.42105
182,problema_real3.txt,0.01,[4],25,86.84211
183,problema_real3.txt,0.01,[8],37,100
184,problema_real3.txt,0.01,"[4, 2]",10,26.31579
185,problema_real3.txt,0.03,[],73,86.84211
186,problema_real3.txt,0.03,[2],11,92.10526
187,problema_real3.txt,0.03,[4],3,76.31579
188,problema_real3.txt,0.03,[8],47,92.10526
189,problema_real3.txt,0.03,"[4, 2]",2,23.68421
190,problema_real3.txt,0.01,[],78,94.73684
191,problema_real3.txt,0.01,[2],3,28.94737
192,problema_real3.txt,0.01,[4],3,52.63158
193,problema_real3.txt,0.01,[8],2,26.31579
194,problema_real3.txt,0.01,"[4, 2]",116,97.36842
195,problema_real3.txt,0.03,[],65,97.36842
196,problema_real3.txt,0.03,[2],75,84.21053
197,problema_real3.txt,0.03,[4],55,97.36842
198,problema_real3.txt,0.03,[8],21,89.47368
199,problema_real3.txt,0.03,"[4, 2]",52,84.21053
200,problema_real3.txt,0.1,[],2,84.21053
201,problema_real3.txt,0.1,[2],12,92.10526
202,problema_real3.txt,0.1,[4],11,89.47368
203,problema_real3.txt,0.1,[8],48,100
204,problema_real3.txt,0.1,"[4, 2]",12,81.57895
205,problema_real3.txt,0.3,[],7,63.15789
206,problema_real3.txt,0.3,[2],13,71.05263
207,problema_real3.txt,0.3,[4],10,89.47368
208,problema_real3.txt,0.3,[8],7,68.42105
209,problema_real3.txt,0.3,"[4, 2]",7,26.31579
210,problema_real4.txt,0.003,[],31,66.85714
211,problema_real4.txt,0.003,[2],31,59.42857
212,problema_real4.txt,0.003,[4],31,66.85714
213,problema_real4.txt,0.003,[8],31,64
214,problema_real4.txt,0.003,"[4, 2]",31,69.14286
215,problema_real4.txt,0.01,[],31,60
216,problema_real4.txt,0.01,[2],31,63.42857
217,problema_real4.txt,0.01,[4],43,70.85714
218,problema_real4.txt,0.01,[8],31,67.42857
219,problema_real4.txt,0.01,"[4, 2]",51,67.42857
220,problema_real4.txt,0.03,[],31,62.28571
221,problema_real4.txt,0.03,[2],31,66.85714
222,problema_real4.txt,0.03,[4],33,68
223,problema_real4.txt,0.03,[8],46,66.85714
224,problema_real4.txt,0.03,"[4, 2]",31,68
225,problema_real4.txt,0.01,[],31,69.14286
226,problema_real4.txt,0.01,[2],31,69.71429
227,problema_real4.txt,0.01,[4],32,69.71429
228,problema_real4.txt,0.01,[8],38,66.28571
229,problema_real4.txt,0.01,"[4, 2]",31,67.42857
230,problema_real4.txt,0.03,[],31,65.14286
231,problema_real4.txt,0.03,[2],31,69.14286
232,problema_real4.txt,0.03,[4],51,64
233,problema_real4.txt,0.03,[8],31,65.71429
234,problema_real4.txt,0.03,"[4, 2]",31,65.14286
235,problema_real4.txt,0.1,[],31,31.42857
236,problema_real4.txt,0.1,[2],31,61.71429
237,problema_real4.txt,0.1,[4],1000,68
238,problema_real4.txt,0.1,[8],31,71.42857
239,problema_real4.txt,0.1,"[4, 2]",31,64.57143
240,problema_real4.txt,0.3,[],31,33.71429
241,problema_real4.txt,0.3,[2],31,72
242,problema_real4.txt,0.3,[4],1000,65.14286
243,problema_real4.txt,0.3,[8],32,69.14286
244,problema_real4.txt,0.3,"[4, 2]",31,68
245,problema_real4.txt,0.003,[],31,58.28571
246,problema_real4.txt,0.003,[2],31,60
247,problema_real4.txt,0.003,[4],31,66.28571
248,problema_real4.txt,0.003,[8],90,66.85714
249,problema_real4.txt,0.003,"[4, 2]",31,68.57143
250,problema_real4.txt,0.01,[],31,64.57143
251,problema_real4.txt,0.01,[2],31,62.85714
252,problema_real4.txt,0.01,[4],31,65.71429
253,problema_real4.txt,0.01,[8],31,77.71429
254,problema_real4.txt,0.01,"[4, 2]",31,65.71429
255,problema_real4.txt,0.03,[],31,34.85714
256,problema_real4.txt,0.03,[2],2,45.71429
257,problema_real4.txt,0.03,[4],31,65.14286
258,problema_real4.txt,0.03,[8],7,60.57143
259,problema_real4.txt,0.03,"[4, 2]",1000,59.42857
260,problema_real4.txt,0.01,[],31,59.42857
261,problema_real4.txt,0.01,[2],31,69.14286
262,problema_real4.txt,0.01,[4],1000,65.14286
263,problema_real4.txt,0.01,[8],32,76
264,problema_real4.txt,0.01,"[4, 2]",31,62.28571
265,problema_real4.txt,0.03,[],31,30.85714
266,problema_real4.txt,0.03,[2],31,72
267,problema_real4.txt,0.03,[4],31,71.42857
268,problema_real4.txt,0.03,[8],31,65.14286
269,problema_real4.txt,0.03,"[4, 2]",31,62.85714
270,problema_real4.txt,0.1,[],31,69.71429
271,problema_real4.txt,0.1,[2],31,70.85714
272,problema_real4.txt,0.1,[4],31,68.57143
273,problema_real4.txt,0.1,[8],31,70.28571
